SITEID,COUNTYID,DATACREATIONDATE,PSI
248,10007,13-8 -16,34.0
204,10007,13-8 -16,29.0
249,10007,13-8 -16,20.0
250,10008,13-8 -16,31.0
251,10009,13-8 -16,26.0
252,10009,13-8 -16,17.0
253,10010,13-8 -16,15.0
254,10010,13-8 -16,31.0
205,10009,13-8 -16,22.0
255,10020,13-8 -16,19.0
256,67000,13-8 -16,21.0
257,67000,13-8 -16,16.0
258,67000,13-8 -16,31.0
259,67000,13-8 -16,26.0
260,64000,13-8 -16,9.0
206,64000,13-8 -16,23.0
261,64000,13-8 -16,31.0
210,63000,11-8 -16,29.0
273,10002,11-8 -16,19.0
274,10002,11-8 -16,18.0
211,65000,11-8 -16,30.0
212,68000,11-8 -16,33.0
275,10008,11-8 -16,32.0
213,65000,11-8 -16,17.0
214,64000,11-8 -16,30.0
215,10008,11-8 -16,31.0
218,9007,11-8 -16,25.0
220,9020,11-8 -16,35.0
221,10016,11-8 -16,16.0
367625,10009,11-8 -16,38.0
276,10017,11-8 -16,32.0
287,63000,09-8 -16,29.0
288,63000,09-8 -16,30.0
289,63000,09-8 -16,29.0
290,63000,09-8 -16,30.0
201,63000,09-8 -16,38.0
291,68000,09-8 -16,28.0
292,68000,09-8 -16,22.0
202,68000,09-8 -16,28.0
293,68000,09-8 -16,31.0
294,68000,09-8 -16,41.0
241,10005,09-8 -16,27.0
242,10005,09-8 -16,21.0
243,66000,09-8 -16,27.0
254,10010,11-8 -16,46.0
205,10009,11-8 -16,48.0
255,10020,11-8 -16,40.0
256,67000,11-8 -16,41.0
257,67000,11-8 -16,28.0
258,67000,11-8 -16,51.0
259,67000,11-8 -16,29.0
260,64000,11-8 -16,21.0
206,64000,11-8 -16,40.0
261,64000,11-8 -16,49.0
207,64000,11-8 -16,44.0
262,64000,11-8 -16,31.0
263,64000,11-8 -16,24.0
264,64000,11-8 -16,43.0
265,64000,11-8 -16,41.0
266,64000,11-8 -16,31.0
209,64000,11-8 -16,37.0
267,64000,11-8 -16,31.0
268,10013,11-8 -16,34.0
269,10013,11-8 -16,38.0
270,10013,11-8 -16,22.0
246,66000,09-8 -16,26.0
247,66000,09-8 -16,28.0
248,10007,09-8 -16,27.0
204,10007,09-8 -16,26.0
249,10007,09-8 -16,26.0
250,10008,09-8 -16,35.0
251,10009,09-8 -16,33.0
252,10009,09-8 -16,33.0
253,10010,09-8 -16,31.0
254,10010,09-8 -16,41.0
205,10009,09-8 -16,24.0
255,10020,09-8 -16,39.0
256,67000,09-8 -16,36.0
257,67000,09-8 -16,25.0
258,67000,09-8 -16,26.0
207,64000,13-8 -16,28.0
262,64000,13-8 -16,23.0
263,64000,13-8 -16,29.0
