﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),風速 WIND_SPEED (m/sec),溫度 AMB_TEMP (℃),相對濕度 RH (percent) 
3712.0,南投縣,2015/01/09,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,37.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3713.0,南投縣,2015/01/09,南投,3.4,0.51,22.2,76.0,34.07998289136014,31.27,6.84,24.44,1.34,17.1,61.88
3714.0,南投縣,2015/01/09,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,42.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3715.0,南投縣,2015/01/09,埔里,1.4,0.52,32.8,64.0,34.07998289136014,16.77,1.14,15.63,1.51,16.17,63.29
3716.0,南投縣,2015/01/09,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,55.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3717.0,南投縣,2015/01/09,竹山,2.7,0.51,27.8,92.0,34.07998289136014,21.79,2.01,19.77,1.34,15.63,63.2
3718.0,南投縣,2015/01/08,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,36.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3719.0,南投縣,2015/01/08,南投,3.2,0.64,21.0,77.0,34.07998289136014,22.75,3.73,19.01,1.88,15.7,62.86
3720.0,南投縣,2015/01/08,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,42.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3721.0,南投縣,2015/01/08,埔里,1.7,0.57,20.5,63.0,34.07998289136014,17.15,1.83,15.3,1.22,15.94,73.28
3722.0,南投縣,2015/01/08,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,50.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3723.0,南投縣,2015/01/08,竹山,4.6,0.51,20.9,85.0,34.07998289136014,19.34,1.5,17.83,1.53,13.98,66.0
3724.0,南投縣,2015/01/07,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,43.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3725.0,南投縣,2015/01/07,南投,2.0,0.78,17.7,84.0,34.07998289136014,27.42,3.95,23.47,1.95,18.74,75.12
3726.0,南投縣,2015/01/07,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,46.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3727.0,南投縣,2015/01/07,埔里,2.9,0.58,23.0,63.0,34.07998289136014,22.79,3.18,19.61,1.3,19.16,73.53
3728.0,南投縣,2015/01/07,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,62.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3729.0,南投縣,2015/01/07,竹山,3.4,0.59,16.8,97.0,34.07998289136014,23.14,1.26,21.87,1.57,17.03,77.7
3730.0,南投縣,2015/01/06,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,38.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3731.0,南投縣,2015/01/06,南投,2.4,0.69,20.7,78.0,34.07998289136014,30.25,6.44,23.82,1.45,21.76,67.74
3732.0,南投縣,2015/01/06,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,23.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3733.0,南投縣,2015/01/06,埔里,2.6,0.47,24.8,40.0,34.07998289136014,22.02,3.85,18.17,1.34,19.84,65.71
3734.0,南投縣,2015/01/06,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,44.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3735.0,南投縣,2015/01/06,竹山,3.9,0.48,25.6,77.0,34.07998289136014,21.08,2.8,18.27,1.43,19.77,68.17
3736.0,南投縣,2015/01/05,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,36.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3737.0,南投縣,2015/01/05,南投,2.6,0.75,24.1,70.0,34.07998289136014,31.25,9.26,21.99,1.3,20.26,64.27
3738.0,南投縣,2015/01/05,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,30.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3739.0,南投縣,2015/01/05,埔里,1.9,0.54,24.4,43.0,34.07998289136014,19.42,3.57,15.85,1.09,17.52,64.86
3740.0,南投縣,2015/01/05,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,42.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
