﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),風速 WIND_SPEED (m/sec),溫度 AMB_TEMP (℃),相對濕度 RH (percent) 
645.0,新北市,2015/06/20,新莊,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,16.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
646.0,新北市,2015/06/20,新莊,5.4,0.3,414.5005617977528,28.4,28.0,11.99911190053286,14.46,1.74,12.72,2.59,30.91,71.74
647.0,新北市,2015/06/20,新店,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,22.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
648.0,新北市,2015/06/20,新店,2.2,0.34,414.5005617977528,27.6,36.0,11.99911190053286,12.92,2.36,10.56,1.98,27.93,72.08
649.0,新北市,2015/06/20,淡水,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,6.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
650.0,新北市,2015/06/20,淡水,1.9,0.3,414.5005617977528,27.2,27.0,11.99911190053286,11.21,2.4,8.81,2.3164478584729977,29.76655626134301,73.4927029478458
651.0,新北市,2015/06/20,汐止,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,17.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
652.0,新北市,2015/06/20,汐止,6.1,0.32,414.5005617977528,25.0,30.0,11.99911190053286,16.46,2.71,13.75,1.73,29.72,78.57
653.0,新北市,2015/06/20,土城,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,20.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
654.0,新北市,2015/06/20,土城,3.2,0.35,414.5005617977528,35.0,34.0,11.99911190053286,15.149012400354296,4.58677147918512,10.56087245349867,1.92,31.09,68.48
655.0,新北市,2015/06/20,林口,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,12.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
656.0,新北市,2015/06/20,林口,2.4,0.18,414.5005617977528,33.8,29.0,11.99911190053286,7.75,1.02,6.73,2.07,26.8,85.38
657.0,新北市,2015/06/20,萬里,3.0794039145907472,0.32004026845637584,414.5005617977528,20.492555605991825,31.797345132743363,23.0,15.149012400354296,4.58677147918512,10.56087245349867,2.3164478584729977,29.76655626134301,73.4927029478458
