SITEID,COUNTYID,PSI,DATACREATIONDATE
263,64000,50.0,2015/2/25
264,64000,72.0,2015/2/25
265,64000,66.0,2015/2/25
266,64000,72.0,2015/2/25
209,64000,60.0,2015/2/25
267,64000,71.0,2015/2/25
268,10013,57.0,2015/2/25
269,10013,56.0,2015/2/25
270,10013,30.0,2015/2/25
271,10014,31.0,2015/2/25
272,10015,33.0,2015/2/25
210,63000,27.0,2015/2/25
273,10002,32.0,2015/2/25
274,10002,21.0,2015/2/25
211,65000,58.0,2015/2/25
212,68000,68.0,2015/2/25
275,10008,82.0,2015/2/25
213,65000,49.0,2015/2/25
214,64000,66.0,2015/2/25
215,10008,39.0,2015/2/25
218,9007,30.0,2015/2/25
277,65000,32.0,2015/2/22
278,65000,34.0,2015/2/22
279,65000,30.0,2015/2/22
280,65000,36.0,2015/2/22
281,65000,39.0,2015/2/22
282,65000,37.0,2015/2/22
283,65000,35.0,2015/2/22
284,65000,,2015/2/22
285,65000,32.0,2015/2/22
286,63000,43.0,2015/2/22
287,63000,47.0,2015/2/22
288,63000,26.0,2015/2/22
289,63000,42.0,2015/2/22
290,63000,32.0,2015/2/22
201,63000,41.0,2015/2/22
291,68000,40.0,2015/2/22
292,68000,38.0,2015/2/22
202,68000,38.0,2015/2/22
293,68000,55.0,2015/2/22
294,68000,58.0,2015/2/22
295,10004,46.0,2015/2/22
282,65000,19.0,2015/3/01
287,63000,22.0,2015/3/01
288,63000,16.0,2015/3/01
289,63000,20.0,2015/3/01
290,63000,26.0,2015/3/01
201,63000,28.0,2015/3/01
291,68000,24.0,2015/3/01
292,68000,24.0,2015/3/01
202,68000,24.0,2015/3/01
293,68000,22.0,2015/3/01
272,10015,28.0,2015/2/28
210,63000,28.0,2015/2/28
273,10002,40.0,2015/2/28
274,10002,32.0,2015/2/28
211,65000,44.0,2015/2/28
212,68000,48.0,2015/2/28
275,10008,63.0,2015/2/28
213,65000,41.0,2015/2/28
214,64000,51.0,2015/2/28
215,10008,45.0,2015/2/28
218,9007,37.0,2015/2/28
220,9020,29.0,2015/2/28
221,10016,34.0,2015/2/28
223,10014,25.0,2015/2/28
367625,10009,52.0,2015/2/28
276,10017,21.0,2015/2/28
277,65000,26.0,2015/2/28
256,67000,83.0,2015/3/03
257,67000,78.0,2015/3/03
258,67000,82.0,2015/3/03
259,67000,75.0,2015/3/03
260,64000,56.0,2015/3/03
206,64000,78.0,2015/3/03
261,64000,90.0,2015/3/03
207,64000,84.0,2015/3/03
262,64000,64.0,2015/3/03
263,64000,49.0,2015/3/03
264,64000,96.0,2015/3/03
265,64000,78.0,2015/3/03
266,64000,86.0,2015/3/03
209,64000,70.0,2015/3/03
210,63000,,2015/3/03
273,10002,44.0,2015/3/03
274,10002,32.0,2015/3/03
211,65000,84.0,2015/3/03
212,68000,82.0,2015/3/03
275,10008,63.0,2015/3/03
213,65000,64.0,2015/3/03
214,64000,59.0,2015/3/03
215,10008,47.0,2015/3/03
218,9007,76.0,2015/3/03
220,9020,96.0,2015/3/03
221,10016,62.0,2015/3/03
223,10014,27.0,2015/3/03
367625,10009,82.0,2015/3/03
276,10017,58.0,2015/3/03
277,65000,60.0,2015/3/03
278,65000,65.0,2015/3/03
279,65000,58.0,2015/3/03
280,65000,63.0,2015/3/03
281,65000,68.0,2015/3/03
282,65000,64.0,2015/3/03
283,65000,71.0,2015/3/03
206,64000,51.0,2015/3/02
261,64000,62.0,2015/3/02
207,64000,62.0,2015/3/02
283,65000,18.0,2015/3/01
284,65000,28.0,2015/3/01
285,65000,27.0,2015/3/01
286,63000,24.0,2015/3/01
283,65000,52.0,2015/3/02
284,65000,50.0,2015/3/02
285,65000,40.0,2015/3/02
286,63000,56.0,2015/3/02
287,63000,62.0,2015/3/02
288,63000,45.0,2015/3/02
289,63000,52.0,2015/3/02
290,63000,46.0,2015/3/02
267,64000,62.0,2015/2/28
268,10013,57.0,2015/2/28
269,10013,64.0,2015/2/28
270,10013,28.0,2015/2/28
271,10014,21.0,2015/2/28
223,10014,34.0,2015/2/27
367625,10009,53.0,2015/2/27
276,10017,34.0,2015/2/27
277,65000,28.0,2015/2/27
278,65000,38.0,2015/2/27
279,65000,23.0,2015/2/27
280,65000,27.0,2015/2/27
281,65000,24.0,2015/2/27
282,65000,25.0,2015/2/27
283,65000,30.0,2015/2/27
288,63000,26.0,2015/2/27
289,63000,27.0,2015/2/27
290,63000,31.0,2015/2/27
